menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
낙지 호롱이|낙지,낙지 호롱이,낙지 호롱이,낙지,1,N,Y,해산물,식사,0.85,manual,1;9;10;11,전남 여수시,1
낙지구이|낙지,낙지구이,낙지구이,낙지,0,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 순천시,1
낙지덮밥|낙지,낙지덮밥,낙지덮밥,낙지,2,N,Y,해산물,식사,0.85,rule,1;9;10;11,전남 신안군,1
낙지돌솥비빔밥|낙지,낙지돌솥비빔밥 등,낙지돌솥비빔밥,낙지,2,N,Y,해산물,식사,0.85,rule,1;9;10;11,전남 함평군,1
낙지백합탕|낙지,낙지백합탕 등,낙지백합탕,낙지,0,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 신안군,1
낙지볶음|낙지,낙지볶음 등,낙지볶음,낙지,3,N,N,해산물,식사,0.85,rule,1;9;10;11,광주 광산구;광주 동구;전남 목포시;전남 무안군;전남 신안군;전남 여수시;전남 영암군;전남 진도군;전남 광양시,18
낙지불고기 전골|낙지,낙지불고기 전골 등,낙지불고기 전골,낙지,2,Y,N,해산물;육류,식사,0.85,rule,1;9;10;11,전남 진도군,1
낙지비빔밥|낙지,낙지비빔밥,낙지비빔밥,낙지,2,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 강진군;전남 목포시;전남 무안군;전남 신안군;전남 여수시;전남 영광군;전남 영암군;전남 함평군,12
낙지수제비|낙지,낙지수제비,낙지수제비,낙지,0,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 여수시,1
낙지연포탕|낙지,낙지연포탕,낙지연포탕,낙지,0,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 목포시;전남 영광군;전남 영암군;전남 장흥군;전남 함평군,5
낙지육회탕탕이|낙지,낙지육회탕탕이 외,낙지육회탕탕이,낙지,0,N,Y,해산물;육류,식사,0.85,rule,1;9;10;11,전남 함평군,1
낙지전|낙지,낙지전,낙지전,낙지,0,N,N,해산물,식사,0.85,rule,1;9;10;11,광주 동구,1
낙지전골|낙지,낙지전골,낙지전골,낙지,2,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 구례군;전남 순천시;전남 해남군,3
